USI Code,Name,Address - Street,City,MPN,Contract Start Date,Contract End Date,Transaction Date,Level 4 Code,Level 5 Code,Tenure (months),Product Name,Unique ID,Product ID,Product ID_source,Product Name_source,Version_source,Customer Name_source,Customer ID_source,Purchase Date_source,Store Name_source,Store Location_source,Price_source,Payment Method_source,Promotion/Discount Applied_source,Warranty Period_source,Product Condition_source,Product Category_source,Product Serial Number_source,Return/Exchange Status_source,USI_source
57085579-33d3-4eb4-af13-2bef96ce0cb0,Jamie Miller,746 Lopez Turnpike Suite 764,Timothymouth,+1-151-391-2093x8707,2021-02-04,2024-03-11,2018-09-06,7885,7991,19.0,Tablet,8f92ac05-de9e-4c69-a059-edf8a3377ec7,01dc1d3a,P2082,"iPad Pro 12.9\"\"",Wireless,Jamie Miller,CUST1082,3/17/2022,Amazon,"Phoenix, AZ","$1,650",Debit Card,None,3 years,New,Headphones,AB5324263812,Returned,57085579-33d3-4eb4-af13-2bef96ce0cb0
17d4271e-1c90-47a3-973b-224870b3b774,Elizabeth Hansen,72000 Pamela Avenue,Ashleyfort,538.224.4769x64889,2018-01-29,2024-05-12,2023-10-09,4470,6889,19.0,Phone,384382a0-2d31-4763-8cb9-011c455792a5,3d541dcd,P2074,Dell XPS 15,49mm,Elizabeth Hansen,CUST1074,12/24/2023,Staples,"Miami, FL","$2,379",Online Payment,Black Friday Sale,1 year,New,Headphones,CD9409369271,Exchanged,17d4271e-1c90-47a3-973b-224870b3b774
d9777bce-7475-4c1f-91e6-6ba361bd4b86,Joseph Barr,2382 Scott Viaduct Suite 551,Ronaldview,8242367649,2018-12-15,2023-09-05,2019-03-12,8655,3422,23.0,Smartwatch,8bf65cab-d68c-475b-b642-e2b4e57440b0,000AA,P2026,iPhone 15,8GB RAM,Joseph Barr,CUST1026,6/13/2022,Costco,"San Antonio, TX","$2,232",Cash,Spring Sale,2 years,Refurbished,Tablet,CD4169547414,Exchanged,d9777bce-7475-4c1f-91e6-6ba361bd4b86
70dae060-2947-4742-af7e-30f9149ed835,Amy West,9215 Howard Via Suite 900,South Brandonton,762-630-9884,2018-08-09,2019-01-05,2023-10-09,2368,5909,51.0,Tablet,9fa602aa-089c-47c0-a4da-a3814c70991d,01dc1d3a,P2081,Dell XPS 15,49mm,Amy West,CUST1081,8/16/2022,Target,"Phoenix, AZ","$2,376",Credit Card,VIP Discount,1 year,Refurbished,Accessory,AB1366683799,Exchanged,70dae060-2947-4742-af7e-30f9149ed835
7e38d412-f30e-4e1d-8b51-59a232c2f01a,Lori Hopkins,332 Bailey Isle,North Johnland,(418)219-0885x0582,2018-03-18,2021-08-30,2022-12-30,1630,1005,47.0,Smartwatch,bd39cede-310d-4a1d-ac2f-017c9436451c,000AA,P2084,Sony WH-1000XM5,8GB RAM,Lori Hopkins,CUST1084,11/17/2020,BestBuy,"Phoenix, AZ","$1,238",Online Payment,Seasonal Sale,3 years,New,Laptop,CD8673357765,Returned,7e38d412-f30e-4e1d-8b51-59a232c2f01a
1f88dd47-cd65-43ce-9c92-1ce506096f02,Jason Leonard,113 Donald Shoals,Dorseymouth,(629)341-5952x55038,2018-01-19,2020-10-08,2021-11-08,5626,7059,17.0,Smartwatch,4b83c707-bee2-497d-8c88-7742467c1004,000AA,P2067,Sony WH-1000XM5,512GB,Jason Leonard,CUST1067,2/12/2021,Newegg,"New York, NY","$1,173",Online Payment,VIP Discount,2 years,New,Accessory,EF9037548224,Exchanged,1f88dd47-cd65-43ce-9c92-1ce506096f02
13bed8d0-271b-45ea-a469-a3c136396914,Meredith Banks MD,958 Key Field Apt. 500,South Tylerview,(826)570-0798x384,2022-05-06,2024-01-26,2022-02-02,7446,8186,10.0,Smartwatch,0f8917bf-02e9-47e7-8c78-fd2052b2f0b3,000AA,P2071,Sony WH-1000XM5,128GB,Meredith Banks MD,CUST1071,8/25/2022,Microsoft Store,"Los Angeles, CA","$1,655",Credit Card,10% off,2 years,New,Tablet,IJ1410368230,Not Returned,13bed8d0-271b-45ea-a469-a3c136396914
e785276d-5c95-4fbb-90bc-a7c432fe73a2,Calvin Hudson,0353 Lance Locks,Camposport,(731)134-6930x2821,2019-12-01,2023-02-07,2019-02-14,6914,5170,39.0,Smartwatch,63095db3-37e6-4628-81a2-549599c85d3c,000AA,P2069,Surface Pro 9,8GB RAM,Calvin Hudson,CUST1069,9/22/2021,Target,"Phoenix, AZ",$879,Cash,10% off,2 years,New,Tablet,CD7172707271,Not Returned,e785276d-5c95-4fbb-90bc-a7c432fe73a2
9b050961-f98b-49ae-ad0d-5282803cd9d0,Kristy Black,5072 Taylor Manor,Port Carol,280-961-4082x5074,2021-02-02,2024-12-25,2022-10-29,4905,5850,10.0,Tablet,7ad0b3c6-57b2-48ac-8c8b-1b41c2d2085e,01dc1d3a,P2007,"MacBook Air 13\"\"",256GB,Kristy Black,CUST1007,12/16/2021,Newegg,"San Antonio, TX","$1,345",Online Payment,Seasonal Sale,3 years,New,Laptop,AB3604933629,Exchanged,9b050961-f98b-49ae-ad0d-5282803cd9d0
233a085c-5bb3-4852-8c14-056c765765b9,Angel Harris,54343 Jasmine Spurs,South Jackson,+1-827-470-0703,2021-03-19,2022-08-13,2018-02-16,6075,8072,42.0,Tablet,817c5802-da1e-4f45-9eef-4a92301c55da,01dc1d3a,P2016,iPhone 15,256GB,Angel Harris,CUST1016,8/6/2022,BestBuy,"Chicago, IL","$1,270",Debit Card,Seasonal Sale,1 year,New,Laptop,EF5919962786,Not Returned,233a085c-5bb3-4852-8c14-056c765765b9
fc5b181f-2a95-43b6-af35-9acab4d40b8c,Whitney Summers,631 Lisa Way Suite 908,Royland,(724)989-7912x943,2021-09-03,2023-04-04,2022-10-28,7495,8694,59.0,Tablet,80741ed2-ced3-48ac-bb05-f4efaef08969,01dc1d3a,P2090,Samsung Galaxy S24,256GB,Whitney Summers,CUST1090,5/17/2020,Microsoft Store,"Los Angeles, CA",$689,Cash,Seasonal Sale,1 year,Refurbished,Laptop,AB4422710716,Exchanged,fc5b181f-2a95-43b6-af35-9acab4d40b8c
be375b2c-8a2f-440e-b0ec-408a2110af22,Laura Riggs,49726 Gibson Crossroad Suite 721,Smithtown,+1-577-591-6216x749,2022-11-28,2023-07-15,2023-11-13,8381,4834,53.0,Tablet,f3acaf5b-4720-44ce-8cda-d58dec39811d,01dc1d3a,P2080,Samsung Galaxy S24,49mm,Laura Riggs,CUST1080,1/1/2021,BestBuy,"Houston, TX","$1,703",Credit Card,Spring Sale,3 years,Refurbished,Tablet,CD7842165862,Exchanged,be375b2c-8a2f-440e-b0ec-408a2110af22
00c68f7c-412a-425f-92db-cbcab51d15c9,Frank Cooper,928 Christian Corner,Conleyfort,(057)165-1080x118,2019-04-26,2020-04-09,2023-08-23,2763,8475,56.0,Tablet,a0c63b9f-8ac7-45a8-9270-c2053daaa7d3,01dc1d3a,P2056,Sony WH-1000XM5,16GB RAM,Frank Cooper,CUST1056,2/27/2022,Amazon,"Houston, TX",$969,Cash,10% off,1 year,Refurbished,Accessory,AB1103816026,Not Returned,00c68f7c-412a-425f-92db-cbcab51d15c9
5d02c690-d29d-4a8c-ac5f-723c76a8b385,Cheryl Smith,309 Ball Gardens Suite 191,Armstrongbury,492.372.6727x19227,2021-04-29,2024-10-31,2022-05-18,2176,5422,14.0,Phone,1f3b5399-29e0-412d-87aa-ef76dd9b652b,3d541dcd,P2092,Dell XPS 15,8GB RAM,Cheryl Smith,CUST1092,7/19/2022,Target,"Denver, CO",$385,Debit Card,Spring Sale,2 years,Refurbished,Smartwatch,CD6797256415,Returned,5d02c690-d29d-4a8c-ac5f-723c76a8b385
dc58cfa5-b5c4-4d83-bac4-60478fda3696,Joshua Anderson,59713 Victoria Canyon Apt. 845,Lake Kathleen,(776)360-4314,2021-04-18,2024-03-24,2023-11-10,5754,1016,37.0,Phone,22c8266a-14b7-4c67-8782-040d957c8059,3d541dcd,P2051,Google Pixel 8 Pro,256GB,Joshua Anderson,CUST1051,5/3/2022,Apple Store,"Phoenix, AZ",$657,Debit Card,VIP Discount,1 year,Refurbished,Accessory,CD2031569843,Exchanged,dc58cfa5-b5c4-4d83-bac4-60478fda3696
73d3f8c9-f225-4bc7-8f8f-6a1719e5972f,Gina Owens,78832 Larry Corner,Jenniferfort,001-551-512-9931,2018-10-17,2022-09-02,2018-09-22,1091,6792,21.0,Phone,77829507-f689-4bad-90e2-ae7d4852bc6d,3d541dcd,P2006,Apple Watch Ultra,8GB RAM,Gina Owens,CUST1006,8/9/2023,Newegg,"Philadelphia, PA",$542,Credit Card,VIP Discount,3 years,Refurbished,Laptop,GH1918449810,Not Returned,73d3f8c9-f225-4bc7-8f8f-6a1719e5972f
3d45fa9d-6d84-49be-86f6-00ec5e52bce4,April Kirby,398 Green Mews Suite 069,Stewarttown,001-629-121-8018,2022-07-03,2022-10-04,2021-12-02,1315,5108,36.0,Phone,553d9315-7332-492c-a27f-ccda311faafa,3d541dcd,P2021,Google Pixel 8 Pro,8GB RAM,April Kirby,CUST1021,11/27/2022,Microsoft Store,"Chicago, IL","$1,192",Online Payment,Seasonal Sale,1 year,Refurbished,Headphones,GH7197092287,Returned,3d45fa9d-6d84-49be-86f6-00ec5e52bce4
81d4b9e7-7300-4a9a-84e7-6978a3a90e88,Wendy Carter,08501 King Ports,Lake Rebeccachester,001-665-195-7945x88658,2018-07-27,2019-12-11,,6510,6607,51.0,ItNULL,e23ddc2e-a242-42b7-93fe-71fee7fec1b6,000AA,P2085,Surface Pro 9,128GB,Wendy Carter,CUST1085,11/22/2021,BestBuy,"Philadelphia, PA","$2,317",Credit Card,Spring Sale,1 year,New,Accessory,EF4150100559,Exchanged,81d4b9e7-7300-4a9a-84e7-6978a3a90e88
038799f4-8e7b-4217-a9b0-b9cc764426fc,Joseph Lloyd,7368 Ashley Cove Suite 475,Huberborough,(948)063-5204x79992,2020-05-08,2021-03-16,,6846,6210,42.0,Tablet,d1f68f3c-73dc-40a6-83ac-0bcb2c1f076c,01dc1d3a,P2028,Sony WH-1000XM5,256GB,Joseph Lloyd,CUST1028,4/11/2021,Staples,"Miami, FL","$1,234",Online Payment,Back to School Sale,1 year,New,Tablet,CD7772780097,Exchanged,038799f4-8e7b-4217-a9b0-b9cc764426fc
7e6ecb2f-3f19-4e76-a942-6301c732556f,Amy Ruiz,8734 Susan Fort Apt. 849,Toddbury,708.686.0514x06381,2022-01-14,2022-08-15,2021-04-20,6982,9462,16.0,ItNULL,7a06eb90-76c9-40d3-9de8-9f77aef8c060,000AA,P2065,Surface Pro 9,8GB RAM,Amy Ruiz,CUST1065,12/4/2023,BestBuy,"Miami, FL","$2,430",Debit Card,Spring Sale,3 years,New,Tablet,CD4248739165,Exchanged,7e6ecb2f-3f19-4e76-a942-6301c732556f
ec94af4c-b211-4149-a4ce-ee2b6e384a96,Jennifer Lang,1359 Katherine Ramp,Traciehaven,8519403175,2018-08-17,2020-01-27,2023-06-22,5359,2396,51.0,ItNULL,505836fa-0b62-4742-9ca0-25ac7c1f71c9,000AA,P2093,"iPad Pro 12.9\"\"",16GB RAM,Jennifer Lang,CUST1093,1/18/2023,Walmart,"Houston, TX","$1,534",Credit Card,None,2 years,New,Smartphone,EF6139345570,Not Returned,ec94af4c-b211-4149-a4ce-ee2b6e384a96
b1297a22-6848-4c5e-b08a-3f46e9fac43f,Bryan Watson,26284 Scott Locks Suite 163,East Pamela,(667)175-7730,2018-08-09,2022-06-06,,7589,3849,23.0,ItNULL,6a8e423f-bc3c-442c-b997-e6a23499a8f0,000AA,P2058,Google Pixel 8 Pro,16GB RAM,Bryan Watson,CUST1058,6/6/2022,Apple Store,"Chicago, IL","$2,095",Cash,Spring Sale,3 years,New,Laptop,AB5517852132,Exchanged,b1297a22-6848-4c5e-b08a-3f46e9fac43f
cecab510-5730-4380-a0a8-6631cbbf9792,Christine Andrade,139 Stephanie Vista Suite 139,Hicksshire,(475)973-0184,2019-12-26,2022-01-25,,8946,2087,15.0,Smartwatch,a60ca20c-1ca7-4002-b5f7-94012465b963,000AA,P2032,Sony WH-1000XM5,256GB,Christine Andrade,CUST1032,4/14/2020,Costco,"New York, NY","$1,694",Credit Card,VIP Discount,3 years,New,Laptop,EF8075365917,Exchanged,cecab510-5730-4380-a0a8-6631cbbf9792
56ec1d4e-f240-4777-86a3-9cfbe9a7dab8,Anne Lopez MD,2117 Edwards Rue Suite 667,Coxport,286-172-8270x4302,2020-02-03,2023-05-29,,7039,6363,8.0,ItNULL,b274ec00-e964-4733-b76a-4cd853e7b82a,000AA,P2091,"MacBook Air 13\"\"",16GB RAM,Anne Lopez MD,CUST1091,2/24/2021,Amazon,"Chicago, IL","$2,015",Credit Card,VIP Discount,1 year,New,Accessory,CD1308642959,Returned,56ec1d4e-f240-4777-86a3-9cfbe9a7dab8
ddc20388-7268-426b-bff4-8aae762e2be3,Marilyn Torres,885 Brown Expressway Apt. 105,New Jasminemouth,+1-126-877-2367x5932,2020-06-01,2021-10-05,2021-06-11,7741,8791,21.0,ItNULL,16832927-8e97-46a3-9dea-eaab2d951c91,000AA,P2070,"iPad Pro 12.9\"\"",49mm,Marilyn Torres,CUST1070,6/15/2020,Newegg,"San Diego, CA","$2,153",Credit Card,10% off,1 year,New,Accessory,EF7407707160,Not Returned,ddc20388-7268-426b-bff4-8aae762e2be3
8a78479f-b12a-4946-9fee-1fc29501e3be,Shawna Moses,7557 Shane Center Suite 456,Tammybury,(184)378-1596,2020-09-13,2023-01-12,2019-03-12,2962,4887,18.0,ItNULL,15ff7386-eea9-4f0f-b5ec-3475803a9128,000AA,P2034,Dell XPS 15,16GB RAM,Shawna Moses,CUST1034,10/9/2023,BestBuy,"Denver, CO","$1,277",Online Payment,Spring Sale,1 year,Refurbished,Laptop,CD9838925631,Not Returned,8a78479f-b12a-4946-9fee-1fc29501e3be
b6207240-3dd5-4a1e-832d-9966787bab04,Edward Beck,62286 Michelle Shore Suite 159,Williamsside,001-614-836-8787,2018-02-02,2024-03-27,,9214,1558,17.0,Tablet,70f9f4af-ea3d-4ae5-950d-419c43c30ae9,01dc1d3a,P2039,"iPad Pro 12.9\"\"",8GB RAM,Edward Beck,CUST1039,4/15/2020,BestBuy,"San Diego, CA","$1,917",Credit Card,Spring Sale,1 year,New,Headphones,EF8005265054,Exchanged,b6207240-3dd5-4a1e-832d-9966787bab04
f4064964-6ce2-4857-91f8-c312823c39d3,Amy Allen,9984 Davis Lock,Lake Antoniochester,(819)999-0126,2019-12-11,2024-06-21,2020-10-20,4300,1166,14.0,ItNULL,01897dc2-e9bb-476b-93d6-cf7c7556504b,000AA,P2020,HP Spectre x360,128GB,Amy Allen,CUST1020,7/11/2023,Microsoft Store,"Phoenix, AZ",$420,Cash,Spring Sale,3 years,Refurbished,Smartphone,EF9944207069,Not Returned,f4064964-6ce2-4857-91f8-c312823c39d3
8417eca4-980e-4d1c-9eb7-c3fff3bb89b2,Jose Coleman,58238 Rose Crescent,North Ronald,842-976-1452,2018-06-11,2018-08-03,2023-10-19,8339,9683,35.0,ItNULL,aa3d89ee-e8c9-478c-b98b-5135de13d8ba,000AA,P2024,HP Spectre x360,49mm,Jose Coleman,CUST1024,7/20/2022,Apple Store,"Philadelphia, PA","$1,024",Credit Card,Back to School Sale,3 years,Refurbished,Smartwatch,GH7528535255,Returned,8417eca4-980e-4d1c-9eb7-c3fff3bb89b2
581a3d8f-be13-484b-88f4-2b05ff18fb90,John Rose,703 Brenda Island Suite 504,Markberg,016-278-1416x6448,2020-04-26,2021-04-08,2023-09-29,1406,6897,15.0,ItNULL,85793b4e-5011-48e1-aac5-fef47c9c6738,000AA,P2066,iPhone 15,49mm,John Rose,CUST1066,4/27/2023,Amazon,"Phoenix, AZ","$1,244",Debit Card,10% off,1 year,New,Accessory,IJ6129120406,Not Returned,581a3d8f-be13-484b-88f4-2b05ff18fb90
86f33d74-ab1c-4932-855d-2d25fbef95ce,Gloria Patel,91943 Clay Causeway Suite 204,New Amybury,136-498-6710x44762,2022-07-30,2022-11-10,,1941,8365,12.0,ItNULL,4fce70da-7548-4020-8fef-3b603e5841ea,000AA,P2078,Samsung Galaxy S24,128GB,Gloria Patel,CUST1078,7/20/2021,Microsoft Store,"Chicago, IL","$2,023",Cash,VIP Discount,3 years,New,Laptop,EF2259457484,Returned,86f33d74-ab1c-4932-855d-2d25fbef95ce
3a8d7dcc-926e-48be-aca1-7ddf3d8c3d40,Gwendolyn Li,8338 Myers Locks Apt. 644,Collinstown,001-142-488-7459x96376,2020-08-16,2021-07-04,,2239,8967,60.0,Smartwatch,f8d9a2c1-1df9-4364-a1e2-9d129dc68d10,000AA,P2073,HP Spectre x360,16GB RAM,Gwendolyn Li,CUST1073,9/25/2021,Walmart,"Denver, CO","$1,133",Cash,None,2 years,Refurbished,Smartphone,EF8876581822,Exchanged,3a8d7dcc-926e-48be-aca1-7ddf3d8c3d40
b400209f-1adc-4bd7-a51a-1a40c0d60d1b,Mrs. Pamela Owens,02243 Joseph Track,East Lindsaymouth,510-415-0739x1208,2018-11-26,2023-05-06,2022-02-27,6500,7071,31.0,ItNULL,fbf19326-965d-4c31-8ddb-302b62bc6980,000AA,P2037,Google Pixel 8 Pro,Wireless,Mrs. Pamela Owens,CUST1037,12/18/2022,B&H,"Los Angeles, CA","$1,341",Debit Card,Spring Sale,3 years,Refurbished,Headphones,GH6758770831,Not Returned,b400209f-1adc-4bd7-a51a-1a40c0d60d1b
d165e979-b47d-47ab-bfc5-7718eb502746,Kathy Evans,24289 Jessica Tunnel Apt. 216,Katiestad,+1-594-870-8561x0877,2018-12-06,2021-05-25,,3714,5540,16.0,Tablet,df28bdb5-7a85-4b4d-863f-deef523264bd,01dc1d3a,P2040,Apple Watch Ultra,256GB,Kathy Evans,CUST1040,12/9/2020,Newegg,"Chicago, IL","$1,543",Debit Card,Holiday Discount,2 years,Refurbished,Tablet,CD3077809889,Returned,d165e979-b47d-47ab-bfc5-7718eb502746
c9855eac-25ee-4b36-95c4-db741a650279,Lisa Thompson,09488 Lucas Fork,Amyfurt,992-295-5769x411,2022-04-14,2023-12-01,2023-02-16,5823,8204,57.0,ItNULL,ce6f89e3-4b21-4f69-96f2-e931b76b7686,000AA,P2013,"iPad Pro 12.9\"\"",49mm,Lisa Thompson,CUST1013,5/11/2020,Walmart,"New York, NY","$1,132",Cash,VIP Discount,2 years,Refurbished,Laptop,IJ1723764120,Returned,c9855eac-25ee-4b36-95c4-db741a650279
cfa677e1-d515-4c73-8354-4a1668eae217,Angela Ryan,747 Rachel Road,Matthewside,+1-949-528-6018x26056,2018-02-19,2020-05-06,,2180,1583,31.0,Smartwatch,3f310d28-ea9d-46d4-8ed1-880728ad2dbf,000AA,P2029,iPhone 15,16GB RAM,Angela Ryan,CUST1029,4/9/2021,Costco,"Philadelphia, PA","$2,340",Credit Card,Back to School Sale,3 years,Refurbished,Laptop,AB5935384353,Exchanged,cfa677e1-d515-4c73-8354-4a1668eae217
cbe5f63c-fa2e-45c5-aded-aaf34b2e5bad,Courtney Powell,1787 Linda Pass,North Richard,187-082-3869x88768,2018-09-08,2020-09-07,2019-07-01,5053,4497,9.0,ItNULL,731801c7-5ce9-4f37-868b-7f3b37bf1e37,000AA,P2087,Surface Pro 9,256GB,Courtney Powell,CUST1087,4/1/2022,Microsoft Store,"Miami, FL",$625,Debit Card,Spring Sale,1 year,Refurbished,Tablet,AB3979720179,Exchanged,cbe5f63c-fa2e-45c5-aded-aaf34b2e5bad
cdcbd293-da2c-4331-9256-c4d22caa63ca,Aaron Martin,825 Thomas Trail Suite 053,West Michael,(017)791-7996,2020-06-29,2023-08-19,2022-10-08,5782,1571,13.0,ItNULL,6dc13569-756e-4ce4-a81d-5519d7ed9d8d,000AA,P2019,Samsung Galaxy S24,49mm,Aaron Martin,CUST1019,9/8/2020,Walmart,"Phoenix, AZ","$1,657",Credit Card,Back to School Sale,2 years,New,Headphones,AB1099390717,Not Returned,cdcbd293-da2c-4331-9256-c4d22caa63ca
c1207924-1dda-4248-8df4-0263ee0b8100,Karen Randolph,72774 Wright Rapids Apt. 698,Jonathanborough,701.925.7426x301,2022-01-03,2023-07-06,2021-08-30,3587,4021,49.0,ItNULL,0aef9802-4fd4-4f03-9a59-71e42a78ca37,000AA,P2041,Apple Watch Ultra,Wireless,Karen Randolph,CUST1041,3/16/2020,Amazon,"Los Angeles, CA","$1,487",Debit Card,10% off,1 year,New,Smartphone,GH8184215544,Not Returned,c1207924-1dda-4248-8df4-0263ee0b8100
82a18591-d623-4b55-8c26-555d60368e3e,Michael Dodson,04200 Bell Streets Suite 280,South Donnaberg,753.613.3808x90590,2021-12-31,2022-05-09,,8097,4861,12.0,Smartwatch,7af49ede-80a3-4d29-8452-d5dd48213a16,000AA,P2077,Sony WH-1000XM5,Wireless,Michael Dodson,CUST1077,12/14/2020,Target,"Chicago, IL",$551,Debit Card,VIP Discount,2 years,New,Laptop,AB8839353703,Not Returned,82a18591-d623-4b55-8c26-555d60368e3e
